Java class,Branch coverage,Line coverage,Passed unit tests
BinaryToDecimal,100%,100%,100%
SieveOfEratosthenes,100%,100%,100%
Sudoku,14%,19%,33%
FibonacciSearch,0%,0%,0%
LinearSearch,100%,100%,100%
PerfectBinarySearch,83%,91%,100%
BubbleSort,100%,100%,100%
InsertionSort,100%,100%,100%
QuickSort,100%,100%,100%
Alphabetical,83%,100%,100%
HammingDistance,100%,100%,100%
BinaryToHexadecimal,100%,100%,75%
ReverseString,83%,100%,100%
HexToOct,0%,0%,0%
AmicableNumber,50%,40%,100%
Area,58%,60%,100%
Factorial,100%,100%,100%
EulersFunction,62%,67%,60%
Huffman,0%,0%,0%
MiniMaxAlgorithm,94%,97%,83%
